Store;Date;Weekly_Sales;Holiday_Flag;Temperature;Fuel_Price;CPI;Unemployment;Product Name;Final Price;Brand;Categories
1;24.12.2010;2387950.2;0;52.33;2.886;211.4051222;7.838;CPOKRTWSO Women's Plus Size 3/4 Roll Sleeves V Neck Henley Tunic Tops Casual Shirts M-14XL;13.49;CPOKRTWSO;"[""Clothing"",""Womens Plus"",""Plus Size Tops"",""Plus Size Tops""]"
1;23.12.2011;2270188.99;0;47.96;3.112;219.3577216;7.866;2-PACK Medgear 12-Pocket Women's Scrub Set with Silver Snap Detail & Contrast Trim;28.68;Medgear;"[""Clothing"",""Scrubs"",""Medgear Scrubs""]"
1;25.11.2011;2033320.66;1;60.14;3.236;218.4676211;7.866;GIRUNS Womens Cargo Pants High Waist Trousers Black M With Pockets Wide Leg Pants Loose Stretchy Casual Comfy Relaxed Fit Streetwear Long Straight Pants For Women;14.99;GIRUNS;"[""Clothing"",""Womens Clothing"",""Womens Pants"",""Womens Pants""]"
1;26.11.2010;1955624.11;1;64.52;2.735;211.7484333;7.838;Unique Loom Indoor Rectangular Oriental Traditional Area Rugs Beige/Gray, 9' 0 x 12' 0;149.99;Unique Loom;"[""Home"",""Decor"",""Rugs"",""Area Rugs"",""All Area Rugs""]"
1;06.04.2012;1899676.88;0;70.43;3.891;221.4356112;7.143;Amay Blackout Grommet Curtain Panel Beige 42 Inch Wide by 108 Inch Long- 1Panel;78.4;Amay's;"[""Home"",""Decor"",""Curtains & Window Treatments"",""Curtains"",""Shop Curtains""]"
1;17.12.2010;1891034.93;0;49.84;2.869;211.4053124;7.838;Tony's Chocolonely 51% Dark Chocolate Bar with Almonds and Sea Salt;4.86;Tony's Chocolonely;"[""Food"",""Candy"",""Chocolate"",""Chocolate Bars""]"
1;16.12.2011;1881176.67;0;51.63;3.159;219.1794533;7.866;LifeStride Womens Katrina 2 Wedge Espadrilles - Medium & Wide Width;39.99;LifeStride;"[""Clothing"",""Shoes"",""Womens Shoes"",""Womens Casual Shoes""]"
1;17.02.2012;1819870.0;0;45.32;3.51;220.4257586;7.348;Brach's Assorted Flavors Autumn Mix Candy, Halloween Candy, 40 oz, Bag;16.68;Brach's;"[""Food"",""Candy"",""Halloween Candy"",""All Halloween Candy""]"
1;10.02.2012;1802477.43;1;48.02;3.409;220.2651783;7.348;JWD Plus Size Tops For Women Lace Sleeve Blouse Waffle Knit Long Sleeve Shirts Navy Blue-1X;19.99;JWD;"[""Clothing"",""Womens Plus"",""Plus Size Tops"",""Plus Size Tops""]"
1;09.12.2011;1799682.38;0;43.93;3.158;218.9618456;7.866;Noble Linens 2-Piece Light Blue Soft Stripe Reversible Print Comforter Set, Twin/TwinXL;45.99;Noble Linens;"[""Home"",""Bedding"",""Comforters"",""Down Alternative Comforters""]"
1;06.07.2012;1769854.16;0;81.57;3.227;221.8837789;6.908;No Boundaries Cotton Boyshort Panty, Sizes XS-XXXL;3.0;No Boundaries;"[""Clothing"",""Womens Clothing"",""Womens Bras, Panties & Lingerie"",""Womens Panties"",""Boy Shorts""]"
1;08.06.2012;1697230.96;0;78.3;3.452;221.7494839;7.143;Bare Home Cozy Fleece Sheet Set - Extra Plush Polar Fleece - Deep Pocket - Split King, Black;64.99;Bare Home;"[""Home"",""Bedding"",""Bed Sheets & Pillowcases"",""Colored Sheets""]"
1;04.11.2011;1697229.58;0;54.98;3.332;217.837382;7.866;ZXSXSY Women Sleeveless Square Neck Spaghetti Straps Solid Color Velvet Tank Top;14.99;ZXSXSY;"[""Clothing"",""Womens Clothing"",""Womens Tops"",""Womens Tank Tops"",""Womens Tank Tops""]"
1;02.03.2012;1688420.76;0;60.96;3.63;220.8480454;7.348;The North Face Women's Canyonlands 1/4 Zip Top;40.0;The North Face;"[""Clothing"",""Womens Clothing"",""Womens Sweatshirts & Hoodies"",""Womens Hoodies"",""Womens Hoodies""]"
1;18.02.2011;1686842.78;0;57.36;3.045;213.2478853;7.742;SGI Bedding 16 Inch Wrap Around Bed Skirt | Microfiber Bed Skirt | Fade Resistant, Wrinkle Free, Anti-static, Decorative, Extra Storage Space, Clutter-Free | Twin, Navy Blue;19.79;SGI bedding;"[""Home"",""Bedding"",""Bed Skirts""]"
1;04.05.2012;1684519.99;0;75.55;3.749;221.6718;7.143;SHOWMALL Plus Size Tunic for Women Cold Shoulder Top Cream Leopard 2X Blouse Short Sleeve Clothing V Neck Shirts Summer Clothes;16.99;Showmall;"[""Clothing"",""Womens Plus"",""Plus Size Tops"",""Plus Size Tops""]"
1;10.12.2010;1682614.26;0;46.33;2.843;211.4659526;7.838;(12 pack) Special Kitty Turkey & Giblets Dinner Pate Wet Cat Food, 22 oz Can;24.0;Special Kitty;"[""Pets"",""Cats"",""Cat Food"",""Wet Cat Food"",""Pate Wet Cat Food""]"
1;16.03.2012;1677472.78;0;64.74;3.734;221.2118132;7.348;Russell Athletic Boys Active Woven Basketball Short, Sizes 4-18 & Husky;8.0;Russell Athletic;"[""Clothing"",""Savings"",""Kids & Baby Savings"",""Shop all kids""]"
1;09.03.2012;1675431.16;0;58.76;3.669;221.0591887;7.348;Dearfoams Mens Original Quilted Nylon Warm Up Bootie House Slipper;27.99;Dearfoams;"[""Clothing"",""Shoes"",""Mens Shoes"",""Mens Slippers"",""Mens Slippers""]"
1;05.10.2012;1670785.97;0;68.55;3.617;223.1814772;6.573;2-PACK Chef Code Basic Short Sleeve Chef Coat with Pearl Buttons, Chef Jacket, Red, 4XL;24.49;Chef Code;"[""Clothing"",""Mens Clothing"",""Mens Work Clothing"",""Mens Work Uniforms""]"
