Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,PRODUCT_NAME,DEPARTMENT,CATEGORY,SKU,SELLER,BRAND,PRICE_CURRENT,PRICE_RETAIL,REVIEW_COUNT,REVIEW_RATING,RunDate
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,Aztec Secret Indian Healing Clay Facial Treatment 16 Ounce,Skin Care,Face Masks,229924920,Walmart.com,Aztec Secret Indian Healing Clay,9.98,9.98,36,4.6,2022-03-20 03:01:11
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,"Freeman Dead Sea Minerals Anti-Stress Clay Facial Mask, Face Mask Balances Skin Moisture, Clears Pores, Made With Lavender and Bergamot For All Skin Types, 6 fl. oz./175 mL Tube",Skin Care,Face Masks,28985952,Walmart.com,Freeman,4.66,6.26,1428,4.4,2022-03-20 03:01:11
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,"Freeman Polishing Charcoal & Black Sugar Facial Gel Mask & Mask, Purifies Skin Without Over Drying, Exfoliating To Remove Dead Skin Cells, Perfect For All Skin Types, 6 fl.oz./ 175 mL Tube",Skin Care,Face Masks,46754551,Walmart.com,Freeman,3.27,7.8,5153,4.3,2022-03-20 03:01:11
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,"Caudalie Purifying Mask, Normal to Combination Skin, 2.5 Oz",Skin Care,Face Masks,147265089,VivaBella,,33.08,33.08,1,5.0,2022-03-20 03:01:11
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,"Freeman Cosmic Holographic Luminizing Rose Quartz Peel Off Facial Mask, Face Mask Removes Impurities, Brightens Complexion, Perfect For All Skin Types, 0.33 fl.oz./ 10 mL Sachet",Skin Care,Face Masks,914074036,Vitabox,Freeman,7.61,7.61,20,3.6,2022-03-20 03:01:11
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,"Purifying Black Peel off Mask, Charcoal Face Mask, Blackhead Remover Deep Cleanser, Acne Black Mud Face Mask",Skin Care,Face Masks,615748114,Dazzle Games LLC,TekDeals,9.95,9.95,168,3.5,2022-03-20 03:01:11
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,"Smyrna Anti-Aging, Anti Wrinkle 24k Gold Collagen Eye Pads Patches, Eye Mask - For Puffy Eyes, Dark Circles, Puffiness ( 10 Pairs )",Skin Care,Face Masks,372372430,Health & Beauty Products Central,Smyrna,10.45,10.45,25,3.5,2022-03-20 03:01:11
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,"Freeman Purifying Avocado & Oatmeal Clay Facial Mask, Face Mask Instantly Deep Cleans, Creates Fresh Skin With Vitamin E, Perfect For Normal To Combination Skin, 6 fl.oz./175 mL Tube",Skin Care,Face Masks,36532180,Walmart.com,Freeman,3.39,4.12,1874,4.4,2022-03-20 03:01:11
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,"Laneige Lip Sleeping Mask Berry, 0.70 Fl Oz",Skin Care,Face Masks,759798679,BeautyPOP,Laneige,16.8,16.8,118,4.5,2022-03-20 03:01:11
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,"Soo'AE Black Charcoal Peel Off Mask, 2.8 fl. oz.",Skin Care,Face Masks,426757121,Walmart.com,Soo'AE,7.12,7.12,183,4.0,2022-03-20 03:01:11
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,"Neutrogena Moisturizing Hydro Boost Hydrating Face Mask, 1 oz",Skin Care,Face Masks,491676560,Walmart.com,Neutrogena,2.62,9.27,405,4.1,2022-03-20 03:01:11
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,"Garnier Black Peel - Off Mask with Charcoal, SkinActive, 1.7 fl. oz.",Skin Care,Face Masks,141540534,Walmart.com,Garnier,7.79,7.79,1125,4.3,2022-03-20 03:01:11
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,Saisze Blackhead Remover Pore Strip Face Mask Peeling Acne Treatment Deep Cleansing Kit,Skin Care,Face Masks,415788077,WANGO,Saisze,8.99,55.56,24,3.7,2022-03-20 03:01:11
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,"So Fresh So Clean Powerful Peel Off Black Mask, 5 oz",Skin Care,Face Masks,622218425,Walmart.com,So Fresh,6.96,6.96,95,3.7,2022-03-20 03:01:11
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,"Freeman Detoxifying, Pore Cleansing, Facial Mask Collection - Variety Pack of 7",Skin Care,Face Masks,195209042,Walmart.com,Freeman,10.49,15.99,2,4.0,2022-03-20 03:01:11
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,"Hydrating Aloe And Seaberry Sheet Mask By Freeman, 0.84 Oz",Skin Care,Face Masks,230969176,Walmart.com,Freeman,2.5,2.5,75,4.5,2022-03-20 03:01:11
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,"Mielle Organics Pomegranate & Honey Hydrating Face Mask, 3.5 Fl Oz",Skin Care,Face Masks,763072565,Walmart.com,,5.59,19.97,2,3.0,2022-03-20 03:01:11
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,"Celavi Beauty & Cosmetics Korea Skin Care Moisturizing Essence Paper Sheet Facial Mask, 0.74 oz, 9 Pack",Skin Care,Face Masks,242449101,"No.1 Beauty & Cosmetic, Inc.",Celavi Beauty & Cosmetics,8.98,8.98,31,4.7,2022-03-20 03:01:11
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,"Celavi Collagen Facial Face Mask (24-Sheets) Classic Korean Skincare | Lighten, Moisturize, Tighten Skin | Diminish Dark Spots & Circles | Brighten, Balance Pigmentation (2 of each mix)",Skin Care,Face Masks,566117210,"No.1 Beauty & Cosmetic, Inc.",,21.99,21.99,14,4.9,2022-03-20 03:01:11
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,"Freeman Hydrating Glacier Water & Pink Peony Gel Cream Facial Mask, Leave on Face Mask, Calms, Refreshes Skin, and Soothes, For All Skin Types, 0.5 fl.oz./ 15 mL Sachet",Skin Care,Face Masks,970133152,Vitabox,Freeman,7.4,7.4,623,4.4,2022-03-20 03:01:11
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,"Yes To Grapefruit Iridescent Peel-Off Mask, 0.33 fl oz",Skin Care,Face Masks,162911303,Walmart.com,Yes To,3.28,3.28,6,4.3,2022-03-20 03:01:11
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,"Yes To Tomatoes Detoxifying Charcoal Mud Mask for Acne, 2 Oz",Skin Care,Face Masks,46463044,Walmart.com,Yes To,7.0,15.84,6,3.5,2022-03-20 03:01:11
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,"SPASCRIPTIONS Clay Charcoal & Dead Sea Mineral Face Mask With Applicator, 1.7 oz (3 Pack)",Skin Care,Face Masks,295734747,AmericaRx Smart Shop,SPASCRIPTIONS,12.95,12.95,33,3.7,2022-03-20 03:01:11
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,"Bior Charcoal Whipped Purifying Detox Mask, 4 oz",Skin Care,Face Masks,964252971,Walmart.com,Bior,5.15,6.47,90,4.4,2022-03-20 03:01:11
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,"Spascriptions Rose, Gold & Cucumber Gel Face Mask",Skin Care,Face Masks,810393674,Walmart.com,SPASCRIPTIONS,9.3,9.3,123,4.4,2022-03-20 03:01:11
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,"AsaVea Blackhead Extractor Peel Off Mask with Brush, 3.17 fl oz",Skin Care,Face Masks,640047734,EMStore,AsaVea,12.39,14.69,4,4.3,2022-03-20 03:01:11
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,60pcs Gold Collagen Eye Mask Remove Dark Circles Whitening Firming Sleep Mask Moisturizing Eye Patches Eyes Skin Care,Skin Care,Face Masks,931127977,Joybuy Express,Wisremt,11.99,11.99,1,5.0,2022-03-20 03:01:11
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,"Freeman Deep Clearing Facial Clay Mask + Cleanser, Manuka Honey + Tea Tree Oil 6 oz",Skin Care,Face Masks,253579056,Bradley Sales,Freeman,9.0,9.0,446,4.5,2022-03-20 03:01:11
